S.No,Category (Landing Page),Sub Category,Product / Service Name,Type,Unit Mapping,Alt / Secondary Units,Quantity Parameters
274,Agriculture,Sericulture,Rice Seeds - Sericulture Variant 1,Product,Per Animal,Annual,250
275,Agriculture,Sericulture,Maize Seeds - Sericulture Variant 2,Product,Sheet,Box,260
276,Agriculture,Sericulture,Sunflower Seeds - Sericulture Variant 3,Product,Roll,Pallet,270
277,Agriculture,Sericulture,Soybean Seeds - Sericulture Variant 4,Product,Sqft,Sqmt,280
278,Agriculture,Sericulture,Cotton Seeds - Sericulture Variant 5,Product,Sqmt,Acre,290
279,Agriculture,Sericulture,Tomato Seeds - Sericulture Variant 6,Product,Kg,Ton,300
280,Agriculture,Sericulture,Onion Seeds - Sericulture Variant 7,Product,Litre,Barrel,310
281,Agriculture,Sericulture,Chilli Seeds - Sericulture Variant 8,Product,Piece,Dozen,320
282,Agriculture,Sericulture,Organic Fertilizer - Sericulture Variant 9,Product,Set,Lot,330
283,Agriculture,Sericulture,NPK Fertilizer - Sericulture Variant 10,Product,Meter,Roll,340
284,Agriculture,Sericulture,Urea Fertilizer - Sericulture Variant 11,Product,Box,Carton,350
285,Agriculture,Sericulture,DAP Fertilizer - Sericulture Variant 12,Product,Bag,Pallet,360
286,Agriculture,Sericulture,Pesticide Spray - Sericulture Variant 13,Product,Unit,Lot,370
287,Agriculture,Sericulture,Herbicide - Sericulture Variant 14,Product,License,Subscription,380
288,Agriculture,Sericulture,Fungicide - Sericulture Variant 15,Product,Service,Contract,390
289,Agriculture,Sericulture,Irrigation Pipe - Sericulture Variant 16,Product,Ton,MT,400
290,Agriculture,Sericulture,Crop Advisory Service - Sericulture Package 1,Service,Per Project,Contract,1
291,Agriculture,Sericulture,Farm Labour Supply - Sericulture Package 2,Service,Per Project,Contract,1
292,Agriculture,Sericulture,Agricultural Drone Service - Sericulture Package 3,Service,Per Project,Contract,1
293,Agriculture,Sericulture,Irrigation Installation - Sericulture Package 4,Service,Per Project,Contract,1
294,Agriculture,Sericulture,Soil Testing Service - Sericulture Package 5,Service,Per Project,Contract,1
295,Agriculture,Floriculture,Rice Seeds - Floriculture Variant 1,Product,Credit,Pack,460
296,Agriculture,Floriculture,Maize Seeds - Floriculture Variant 2,Product,Per Filing,Annual,470
297,Agriculture,Floriculture,Sunflower Seeds - Floriculture Variant 3,Product,Per Month,Annual,480
298,Agriculture,Floriculture,Soybean Seeds - Floriculture Variant 4,Product,Per Hour,Monthly,490
299,Agriculture,Floriculture,Cotton Seeds - Floriculture Variant 5,Product,Per Project,Contract,500
300,Agriculture,Floriculture,Tomato Seeds - Floriculture Variant 6,Product,Per Acre,Per Season,10
301,Agriculture,Floriculture,Onion Seeds - Floriculture Variant 7,Product,Per Day,Monthly,20
302,Agriculture,Floriculture,Chilli Seeds - Floriculture Variant 8,Product,Per Sample,Batch,30
303,Agriculture,Floriculture,Organic Fertilizer - Floriculture Variant 9,Product,Per Trip,Contract,40
304,Agriculture,Floriculture,NPK Fertilizer - Floriculture Variant 10,Product,Per Formula,Contract,50
305,Agriculture,Floriculture,Urea Fertilizer - Floriculture Variant 11,Product,Per Animal,Annual,60
306,Agriculture,Floriculture,DAP Fertilizer - Floriculture Variant 12,Product,Sheet,Box,70
307,Agriculture,Floriculture,Pesticide Spray - Floriculture Variant 13,Product,Roll,Pallet,80
308,Agriculture,Floriculture,Herbicide - Floriculture Variant 14,Product,Sqft,Sqmt,90
309,Agriculture,Floriculture,Fungicide - Floriculture Variant 15,Product,Sqmt,Acre,100
310,Agriculture,Floriculture,Irrigation Pipe - Floriculture Variant 16,Product,Kg,Ton,110
311,Agriculture,Floriculture,Crop Advisory Service - Floriculture Package 1,Service,Per Project,Contract,1
312,Agriculture,Floriculture,Farm Labour Supply - Floriculture Package 2,Service,Per Project,Contract,1
313,Agriculture,Floriculture,Agricultural Drone Service - Floriculture Package 3,Service,Per Project,Contract,1
314,Agriculture,Floriculture,Irrigation Installation - Floriculture Package 4,Service,Per Project,Contract,1
315,Agriculture,Floriculture,Soil Testing Service - Floriculture Package 5,Service,Per Project,Contract,1
316,Agriculture,Aquaculture,Rice Seeds - Aquaculture Variant 1,Product,Bag,Pallet,170
317,Agriculture,Aquaculture,Maize Seeds - Aquaculture Variant 2,Product,Unit,Lot,180
318,Agriculture,Aquaculture,Sunflower Seeds - Aquaculture Variant 3,Product,License,Subscription,190
319,Agriculture,Aquaculture,Soybean Seeds - Aquaculture Variant 4,Product,Service,Contract,200
320,Agriculture,Aquaculture,Cotton Seeds - Aquaculture Variant 5,Product,Ton,MT,210
321,Agriculture,Aquaculture,Tomato Seeds - Aquaculture Variant 6,Product,Pack,Carton,220
322,Agriculture,Aquaculture,Onion Seeds - Aquaculture Variant 7,Product,Gram,Kg,230
323,Agriculture,Aquaculture,Chilli Seeds - Aquaculture Variant 8,Product,Can,Pallet,240
324,Agriculture,Aquaculture,Organic Fertilizer - Aquaculture Variant 9,Product,Book,Box,250
325,Agriculture,Aquaculture,NPK Fertilizer - Aquaculture Variant 10,Product,Certificate,Lot,260
326,Agriculture,Aquaculture,Urea Fertilizer - Aquaculture Variant 11,Product,Credit,Pack,270
327,Agriculture,Aquaculture,DAP Fertilizer - Aquaculture Variant 12,Product,Per Filing,Annual,280
328,Agriculture,Aquaculture,Pesticide Spray - Aquaculture Variant 13,Product,Per Month,Annual,290
329,Agriculture,Aquaculture,Herbicide - Aquaculture Variant 14,Product,Per Hour,Monthly,300
330,Agriculture,Aquaculture,Fungicide - Aquaculture Variant 15,Product,Per Project,Contract,310
331,Agriculture,Aquaculture,Irrigation Pipe - Aquaculture Variant 16,Product,Per Acre,Per Season,320
332,Agriculture,Aquaculture,Crop Advisory Service - Aquaculture Package 1,Service,Per Project,Contract,1
333,Agriculture,Aquaculture,Farm Labour Supply - Aquaculture Package 2,Service,Per Project,Contract,1
334,Agriculture,Aquaculture,Agricultural Drone Service - Aquaculture Package 3,Service,Per Project,Contract,1
335,Agriculture,Aquaculture,Irrigation Installation - Aquaculture Package 4,Service,Per Project,Contract,1
336,Agriculture,Aquaculture,Soil Testing Service - Aquaculture Package 5,Service,Per Project,Contract,1
337,Agriculture,Hydroponics,Rice Seeds - Hydroponics Variant 1,Product,Sheet,Box,380
338,Agriculture,Hydroponics,Maize Seeds - Hydroponics Variant 2,Product,Roll,Pallet,390
339,Agriculture,Hydroponics,Sunflower Seeds - Hydroponics Variant 3,Product,Sqft,Sqmt,400
340,Agriculture,Hydroponics,Soybean Seeds - Hydroponics Variant 4,Product,Sqmt,Acre,410
341,Agriculture,Hydroponics,Cotton Seeds - Hydroponics Variant 5,Product,Kg,Ton,420
342,Agriculture,Hydroponics,Tomato Seeds - Hydroponics Variant 6,Product,Litre,Barrel,430
343,Agriculture,Hydroponics,Onion Seeds - Hydroponics Variant 7,Product,Piece,Dozen,440
344,Agriculture,Hydroponics,Chilli Seeds - Hydroponics Variant 8,Product,Set,Lot,450
345,Agriculture,Hydroponics,Organic Fertilizer - Hydroponics Variant 9,Product,Meter,Roll,460
346,Agriculture,Hydroponics,NPK Fertilizer - Hydroponics Variant 10,Product,Box,Carton,470
347,Agriculture,Hydroponics,Urea Fertilizer - Hydroponics Variant 11,Product,Bag,Pallet,480
348,Agriculture,Hydroponics,DAP Fertilizer - Hydroponics Variant 12,Product,Unit,Lot,490
349,Agriculture,Hydroponics,Pesticide Spray - Hydroponics Variant 13,Product,License,Subscription,500
350,Agriculture,Hydroponics,Herbicide - Hydroponics Variant 14,Product,Service,Contract,10
351,Agriculture,Hydroponics,Fungicide - Hydroponics Variant 15,Product,Ton,MT,20
352,Agriculture,Hydroponics,Irrigation Pipe - Hydroponics Variant 16,Product,Pack,Carton,30
353,Agriculture,Hydroponics,Crop Advisory Service - Hydroponics Package 1,Service,Per Project,Contract,1
354,Agriculture,Hydroponics,Farm Labour Supply - Hydroponics Package 2,Service,Per Project,Contract,1
355,Agriculture,Hydroponics,Agricultural Drone Service - Hydroponics Package 3,Service,Per Project,Contract,1
356,Agriculture,Hydroponics,Irrigation Installation - Hydroponics Package 4,Service,Per Project,Contract,1
357,Agriculture,Hydroponics,Soil Testing Service - Hydroponics Package 5,Service,Per Project,Contract,1
358,Agriculture,Mushroom Cultivation,Rice Seeds - Mushroom Cultivation Variant 1,Product,Per Filing,Annual,90
359,Agriculture,Mushroom Cultivation,Maize Seeds - Mushroom Cultivation Variant 2,Product,Per Month,Annual,100
360,Agriculture,Mushroom Cultivation,Sunflower Seeds - Mushroom Cultivation Variant 3,Product,Per Hour,Monthly,110
361,Agriculture,Mushroom Cultivation,Soybean Seeds - Mushroom Cultivation Variant 4,Product,Per Project,Contract,120
362,Agriculture,Mushroom Cultivation,Cotton Seeds - Mushroom Cultivation Variant 5,Product,Per Acre,Per Season,130
363,Agriculture,Mushroom Cultivation,Tomato Seeds - Mushroom Cultivation Variant 6,Product,Per Day,Monthly,140
364,Agriculture,Mushroom Cultivation,Onion Seeds - Mushroom Cultivation Variant 7,Product,Per Sample,Batch,150
365,Agriculture,Mushroom Cultivation,Chilli Seeds - Mushroom Cultivation Variant 8,Product,Per Trip,Contract,160
366,Agriculture,Mushroom Cultivation,Organic Fertilizer - Mushroom Cultivation Variant 9,Product,Per Formula,Contract,170
367,Agriculture,Mushroom Cultivation,NPK Fertilizer - Mushroom Cultivation Variant 10,Product,Per Animal,Annual,180
368,Agriculture,Mushroom Cultivation,Urea Fertilizer - Mushroom Cultivation Variant 11,Product,Sheet,Box,190
369,Agriculture,Mushroom Cultivation,DAP Fertilizer - Mushroom Cultivation Variant 12,Product,Roll,Pallet,200
370,Agriculture,Mushroom Cultivation,Pesticide Spray - Mushroom Cultivation Variant 13,Product,Sqft,Sqmt,210
371,Agriculture,Mushroom Cultivation,Herbicide - Mushroom Cultivation Variant 14,Product,Sqmt,Acre,220
372,Agriculture,Mushroom Cultivation,Fungicide - Mushroom Cultivation Variant 15,Product,Kg,Ton,230
373,Agriculture,Mushroom Cultivation,Irrigation Pipe - Mushroom Cultivation Variant 16,Product,Litre,Barrel,240
374,Agriculture,Mushroom Cultivation,Crop Advisory Service - Mushroom Cultivation Package 1,Service,Per Project,Contract,1
375,Agriculture,Mushroom Cultivation,Farm Labour Supply - Mushroom Cultivation Package 2,Service,Per Project,Contract,1
376,Agriculture,Mushroom Cultivation,Agricultural Drone Service - Mushroom Cultivation Package 3,Service,Per Project,Contract,1
377,Agriculture,Mushroom Cultivation,Irrigation Installation - Mushroom Cultivation Package 4,Service,Per Project,Contract,1
378,Agriculture,Mushroom Cultivation,Soil Testing Service - Mushroom Cultivation Package 5,Service,Per Project,Contract,1
379,Agriculture,Bee Keeping,Rice Seeds - Bee Keeping Variant 1,Product,Unit,Lot,300
380,Agriculture,Bee Keeping,Maize Seeds - Bee Keeping Variant 2,Product,License,Subscription,310
381,Agriculture,Bee Keeping,Sunflower Seeds - Bee Keeping Variant 3,Product,Service,Contract,320
382,Agriculture,Bee Keeping,Soybean Seeds - Bee Keeping Variant 4,Product,Ton,MT,330
383,Agriculture,Bee Keeping,Cotton Seeds - Bee Keeping Variant 5,Product,Pack,Carton,340
384,Agriculture,Bee Keeping,Tomato Seeds - Bee Keeping Variant 6,Product,Gram,Kg,350
385,Agriculture,Bee Keeping,Onion Seeds - Bee Keeping Variant 7,Product,Can,Pallet,360
386,Agriculture,Bee Keeping,Chilli Seeds - Bee Keeping Variant 8,Product,Book,Box,370
387,Agriculture,Bee Keeping,Organic Fertilizer - Bee Keeping Variant 9,Product,Certificate,Lot,380
388,Agriculture,Bee Keeping,NPK Fertilizer - Bee Keeping Variant 10,Product,Credit,Pack,390
389,Agriculture,Bee Keeping,Urea Fertilizer - Bee Keeping Variant 11,Product,Per Filing,Annual,400
390,Agriculture,Bee Keeping,DAP Fertilizer - Bee Keeping Variant 12,Product,Per Month,Annual,410
391,Agriculture,Bee Keeping,Pesticide Spray - Bee Keeping Variant 13,Product,Per Hour,Monthly,420
392,Agriculture,Bee Keeping,Herbicide - Bee Keeping Variant 14,Product,Per Project,Contract,430
393,Agriculture,Bee Keeping,Fungicide - Bee Keeping Variant 15,Product,Per Acre,Per Season,440
394,Agriculture,Bee Keeping,Irrigation Pipe - Bee Keeping Variant 16,Product,Per Day,Monthly,450
395,Agriculture,Bee Keeping,Crop Advisory Service - Bee Keeping Package 1,Service,Per Project,Contract,1
396,Agriculture,Bee Keeping,Farm Labour Supply - Bee Keeping Package 2,Service,Per Project,Contract,1
397,Agriculture,Bee Keeping,Agricultural Drone Service - Bee Keeping Package 3,Service,Per Project,Contract,1
398,Agriculture,Bee Keeping,Irrigation Installation - Bee Keeping Package 4,Service,Per Project,Contract,1
399,Agriculture,Bee Keeping,Soil Testing Service - Bee Keeping Package 5,Service,Per Project,Contract,1
400,Agriculture,Dairy Farming,Rice Seeds - Dairy Farming Variant 1,Product,Roll,Pallet,10
401,Agriculture,Dairy Farming,Maize Seeds - Dairy Farming Variant 2,Product,Sqft,Sqmt,20
402,Agriculture,Dairy Farming,Sunflower Seeds - Dairy Farming Variant 3,Product,Sqmt,Acre,30
403,Agriculture,Dairy Farming,Soybean Seeds - Dairy Farming Variant 4,Product,Kg,Ton,40
404,Agriculture,Dairy Farming,Cotton Seeds - Dairy Farming Variant 5,Product,Litre,Barrel,50
405,Agriculture,Dairy Farming,Tomato Seeds - Dairy Farming Variant 6,Product,Piece,Dozen,60
406,Agriculture,Dairy Farming,Onion Seeds - Dairy Farming Variant 7,Product,Set,Lot,70
407,Agriculture,Dairy Farming,Chilli Seeds - Dairy Farming Variant 8,Product,Meter,Roll,80
408,Agriculture,Dairy Farming,Organic Fertilizer - Dairy Farming Variant 9,Product,Box,Carton,90
409,Agriculture,Dairy Farming,NPK Fertilizer - Dairy Farming Variant 10,Product,Bag,Pallet,100
410,Agriculture,Dairy Farming,Urea Fertilizer - Dairy Farming Variant 11,Product,Unit,Lot,110
411,Agriculture,Dairy Farming,DAP Fertilizer - Dairy Farming Variant 12,Product,License,Subscription,120
412,Agriculture,Dairy Farming,Pesticide Spray - Dairy Farming Variant 13,Product,Service,Contract,130
413,Agriculture,Dairy Farming,Herbicide - Dairy Farming Variant 14,Product,Ton,MT,140
414,Agriculture,Dairy Farming,Fungicide - Dairy Farming Variant 15,Product,Pack,Carton,150
415,Agriculture,Dairy Farming,Irrigation Pipe - Dairy Farming Variant 16,Product,Gram,Kg,160
416,Agriculture,Dairy Farming,Crop Advisory Service - Dairy Farming Package 1,Service,Per Project,Contract,1
